Tweets/Message,Matched Words,Positive Word Frequency,Negative Word Frequency,Tweet Polarity
amrtawakol98 it it really wasnt i dont see how that could be my logicim very fortunate to live in canada but damn theres still so much wrong here especially when it comes to the unhealthy adults who still deserve life liberty and shelter education here is not free btw,"['really', 'see', 'very', 'fortunate', 'to', 'live', 'in', 'damn', 'still', 'much', 'wrong', 'the', 'unhealthy', 'deserve', 'life', 'liberty', 'shelter', 'education', 'free']",15,6,POSITIVE
tsiehta fordnation dont leave out this astroturf i lt3 oil amp gas group for working hard to get jkenney elected in alberta so he could dismantle healthcare and educationhttpstcoaktwgzhal9,"['leave', 'out', 'oil', 'gas', 'group', 'for', 'hard', 'to', 'get', 'elected', 'in', 'dismantle', 'healthcare']",9,4,POSITIVE
we may have struggled to serve some students in school that struggle will be greater remotely educators worry gap may widen for disadvantaged students who are stuck at home ,"['have', 'to', 'serve', 'in', 'school', 'struggle', 'greater', 'worry', 'gap', 'widen', 'for', 'disadvantaged', 'are', 'stuck', 'home']",11,4,POSITIVE
a better phrase is remote teaching during a crisis as thats what teachers are doing by continuing education right now albertateachershome schooling now in full swing but not every family has laptops for every child  cbc news ,"['better', 'phrase', 'remote', 'crisis', 'are', 'continuing', 'education', 'right', 'in', 'full', 'swing', 'every', 'family', 'for', 'child', 'news']",14,3,POSITIVE
a better phrase is remote teaching during a crisis as thats what teachers are doing by continuing education right now albertateachershome schooling now in full swing but not every family has laptops for every child  cbc news ,"['better', 'phrase', 'remote', 'crisis', 'are', 'continuing', 'education', 'right', 'in', 'full', 'swing', 'every', 'family', 'for', 'child', 'news']",14,3,POSITIVE
shortsighted move this can be done remotely as the pathologists noted students should not see the supports they need to succeed cut back during this time speech pathologists at calgary schools say theyre heartbroken after surprise layoffs  cbc news ,"['shortsighted', 'move', 'the', 'see', 'need', 'to', 'succeed', 'cut', 'back', 'time', 'speech', 'say', 'heartbroken', 'surprise', 'news']",13,3,POSITIVE
a better phrase is remote teaching during a crisis as thats what teachers are doing by continuing education right now albertateachershome schooling now in full swing but not every family has laptops for every child  cbc news ,"['better', 'phrase', 'remote', 'crisis', 'are', 'continuing', 'education', 'right', 'in', 'full', 'swing', 'every', 'family', 'for', 'child', 'news']",14,3,POSITIVE
mt oilsandsaction the energy industry is a major economic engine for canada supporting gt500000 families and generating 24 billion of government revenues from 20162018 for things like education and healthcare cdnpoli ,"['the', 'energy', 'industry', 'major', 'economic', 'engine', 'for', 'supporting', 'billion', 'of', 'government', 'education', 'healthcare']",12,2,POSITIVE
mt oilsandsaction the energy industry is a major economic engine for canada supporting gt500000 families and generating 24 billion of government revenues from 20162018 for things like education and healthcare cdnpoli httpstcoo4utsu3beb,"['the', 'energy', 'industry', 'major', 'economic', 'engine', 'for', 'supporting', 'billion', 'of', 'government', 'education', 'healthcare']",12,2,POSITIVE
broadband is a vital lifeline right nowfcm rural forum chair orbray shares how covid19 pandemic has highlighted the gaps that exist btw different cdnmuni across ruralmatters universalbroaband  ,"['vital', 'right', 'rural', 'forum', 'chair', 'pandemic', 'the', 'exist', 'different']",7,2,POSITIVE
