CONCEPT,POLARITY
a_little,negative
a_little_hungry,positive
a_little_specific,positive
a_lot,positive
a_lot_of_books,positive
a_lot_of_energy,positive
a_lot_of_fat,negative
a_lot_of_flowers,positive
a_lot_of_food,positive
a_lot_of_fun,positive
a_lot_of_information,positive
a_lot_of_money,positive
a_lot_of_noise,negative
a_lot_of_people,positive
a_lot_of_practice,positive
a_lot_of_sex,positive
a_lot_of_space,positive
a_lot_of_stress,negative
a_lot_of_study,negative
a_lot_of_time,positive
a_lot_of_work,positive
aa_gill,negative
aa_gun,negative
abandon,negative
abandoned,negative
abandoned_person,negative
abandoned_quarry,negative
abandonment,negative
abase,negative
abasement,negative
abash,negative
abashed,negative
abashment,negative
abasia,negative
abate,negative
abatement,negative
abattoir,negative
abaxial_surface,negative
abaxially,negative
abba_kovner,negative
abbandono,positive
abbreviate,positive
abc,negative
abc_dancing_with,positive
abc_drama,positive
abc_paramount,positive
abc_television,positive
abc_tv,positive
abdel,positive
abdicate,negative
abdication,negative
abdomen,positive
abdominal,negative
abdominal_aortic,negative
abdominal_cavity,negative
abdominal_discomfort,negative
abdominal_distension,positive
abdominal_distention,negative
abdominal_ectopic_gestation,negative
abdominal_incision,positive
abdominal_muscle,positive
abdominal_pain,negative
abdominal_pregnancy,negative
abdominal_viscera,negative
abdominal_wall,negative
abdominoplasty,positive
abducens_nerve,negative
abduct,negative
abduction,negative
abductor,positive
abductor_digiti_minimi,positive
abductor_muscle,positive
abelisauridae,negative
aberdeen_angus_cattle,positive
aberrance,negative
aberrancy,negative
aberrant,negative
aberrantly,positive
aberration,negative
abetalipoproteinemia,negative
abhominable,negative
abhor,negative
abhorrence,negative
abhorrent,negative
abhorreth,negative
abidance,positive
abide,positive
abide_by,positive
abided_by,positive
abideth,positive
abiding_love,positive
abience,negative
ability,positive
ability_communicate,positive
ability_hear,positive
ability_read,positive
ability_see,positive
abimelech,negative
abject,negative
abject_misery,negative
abject_poverty,negative
abjection,negative
abjectly,negative
abjure,negative
ablate,negative
ablate_down,negative
ablate_off,negative
ablate_out,negative
ablate_thin,negative
ablaut,positive
ablaze,positive
able,positive
able_eat,positive
able_hear,positive
able_read,positive
able_run,positive
able_see,positive
able_use,positive
ablest,positive
ablution,negative
abnegate,negative
abnormal,negative
abnormal_bone,negative
abnormal_brain,positive
abnormal_cardiac,negative
abnormal_curvature,negative
abnormal_enlargement,negative
abnormal_gait,positive
abnormal_gene,negative
abnormal_heart_rhythm,negative
abnormal_lipid,positive
abnormal_liver_function,positive
abnormal_posture,positive
abnormal_prion,positive
abnormal_rhythm,negative
abnormalcy,negative
abnormality,negative
abnormally_prominent,positive
abnormally_short,positive
abnormally_thick,positive
abode,positive
aboleth,negative
abolish,positive
abolish_capital_punishment,negative
abolished_capital_punishment,negative
abolished_corporal_punishment,negative
abolishing_capital_punishment,negative
abolition,negative
abomasum,positive
abominable,negative
abominable_snowman,negative
abominably,negative
abominate,negative
abomination,negative
abominator,negative
aboot,positive
aboriginal,positive
aboriginal_youth,positive
abort,negative
abortion,negative
abortion_ban,negative
abortion_jurisprudence,negative
abortionist,positive
abortive,negative
abortus,negative
abound,positive
above,positive
above_all,positive
above_average_rainfall,negative
above_earth,positive
above_leg,positive
above_reproach,negative
abowte,negative
abracadabra,positive
abrade,negative
abrasion,negative
abrasion_resistance,positive
abrasion_resistant,positive
abrasive,negative
abrasively,negative
abreaction,positive
abridge,positive
abridgement,positive
abroad,positive
abrogate,negative
abrogation,negative
abrupt,negative
abrupt_departure,negative
abrupt_drop,positive
abrupt_onset,negative
abrupt_resignation,negative
abruptio_placenta,negative
abruptly,negative
abruptness,negative
abs_plastic,positive
abscess_cavity,negative
abscess_formation,negative
abscessed,negative
abscisic_acid,negative
abscission,negative
abscond,negative
abseil,negative
absence,negative
absence_of_communication,negative
absence_of_danger,positive
absence_of_light,negative
absence_of_risk,positive
absence_seizure,negative
absent,negative
absent-minded,negative
absentee,negative
absenteeism,positive
absently,positive
absolute,positive
absolute_accuracy,positive
